tf	tg
REST	CHGA
REST	TAC1
REST	PCSK1
REST	CARTPT
REST	VGF
REST	CHGB
HDAC1	HMGCS1
HDAC1	SPP1
HDAC1	SFRP1
HDAC1	GRIN2B
HDAC1	FOS
HDAC1	HSPA5
HDAC1	CDKN1A
FOS	CLU
FOS	EZR
FOS	FOS
FOS	NTS
FOS	NEFL
FOS	NPPA
DNMT3A	SFRP1
DNMT3A	CDH6
DNMT3A	CDKN1A
RARA	CRH
RARA	SCD
RARA	CRABP1
RARA	CDKN1A
JUND	SOX4
JUND	NTS
JUND	CDKN1A
JUND	CLU
JUN	CDKN1A
JUN	CCL2
JUN	EZR
JUN	STMN1
JUN	PTN
JUN	NTS
JUN	NEFL
ESR2	FOS
ESR2	CRH
ESR2	CDKN1A
MYCN	LRRN3
MYCN	EFNB3
MYCN	CDKN1A
MYCN	CLU
ETV6	CDKN1A
ETV6	IGFBP5
PHOX2B	DBH
PHOX2B	PHOX2A
CREB1	NTS
CREB1	PCSK1
CREB1	FOS
CREB1	STMN1
CREB1	NR2F1
ATF1	PCSK1
ATF1	FTH1
ATF1	NTS
POU5F1	SPP1
POU5F1	CDKN1A
POU5F1	EOMES
BRCA1	CDKN1A
BRCA1	HSPA5
BRCA1	IGF1
BRCA1	FOS
KLF10	STMN1
KLF10	CDKN1A
NR2F2	TFAP2A
NR2F2	NTS
HDAC2	CCL2
HDAC2	CDKN1A
HDAC2	IGF1
HES1	ASCL1
HES1	MAP2
RB1	IGF1
RB1	CDKN1A
RB1	FOS
HIPK2	CDKN1A
HIPK2	MEF2C
SMARCA4	FOS
SMARCA4	CDKN1A
TFCP2	SPP1
TFCP2	PAX6
SP1	EZR
SP1	CCL2
SP1	CHGA
SP1	ID4
SP1	PAX6
SP1	GATA3
SP1	CDKN1A
SP1	SPP1
SP1	LPL
SP1	PTN
SP1	FOS
PAX6	PCSK1
PAX6	FABP7
OTX2	PAX6
OTX2	IGF1
HDAC7	MEF2C
HDAC7	CDKN1A
ING4	CDKN1A
ING4	SPP1
JUNB	CDKN1A
JUNB	CLU
TBP	FOS
TBP	CDKN1A
SIRT1	PAX6
SIRT1	BCL11A
SIRT1	CDKN1A
CEBPA	SPP1
CEBPA	IGF1
CEBPA	CCL2
XBP1	CCL2
XBP1	HSPA5
EP300	CRABP1
EP300	IGF1
EP300	CDKN1A
ELK1	PTPRZ1
ELK1	FOS
REL	CCL2
REL	CDKN1A
SOX2	PAX6
SOX2	ISL1
TCF4	NRXN1
TCF4	CNTNAP2
TWIST2	FOS
TWIST2	NR2F1
NR1I2	CCL2
NR1I2	KLF6
ERG	SPP1
ERG	SOX4
NFIC	CCL2
NFIC	FABP7
TFAP2A	CDKN1A
TFAP2A	DBH
TFAP2A	IGFBP5
RUNX3	CDKN1A
RUNX3	PEA15
ESR1	CDKN1A
ESR1	CRH
ESR1	FOS
E2F1	HSPA5
E2F1	CDKN1A
E2F1	RASGRP1
E2F1	NELL2
ATF4	HSPA5
ATF4	CCL2
TWIST1	NR2F1
TWIST1	FOS
EGR1	STMN1
EGR1	CHGA
EGR1	CDKN1A
NR3C1	SPP1
NR3C1	CDKN1A
YY1	DBH
YY1	HSPA5
YY1	TFAP2A
PPARA	LPL
PPARA	TUBA1B
RELA	GATA3
RELA	RGS4
RELA	CCL2
RELA	CDKN1A
RELA	LPL
RELA	S100A6
EZH2	CDKN1A
EZH2	SFRP1
NFKB1	GATA3
NFKB1	CDKN1A
NFKB1	S100A6
NFKB1	RGS4
NFKB1	LPL
NFKB1	CCL2
VDR	CDKN1A
VDR	CALB1
IRF1	DST
IRF1	CDKN1A
SP3	LPL
SP3	CDKN1A
SP3	ID4
WT1	IGF1
WT1	CDKN1A
USF1	ID4
USF1	S100A6
PPARG	CDKN1A
PPARG	DBI
STAT3	FOS
STAT3	CDKN1A
STAT3	CCL2
ETS1	CDKN1A
ETS1	TFAP2A
STAT1	CDKN1A
STAT1	CCL2
AR	CRH
AR	CDKN1A
MYC	SFRP1
MYC	CDKN1A
